height_ft,volume_ft3,section_area_ft2,perimeter_ft,sidewall_area_ft2,total_wetted_area_ft2
0.0,0.0,0.36472043837789675,2.140843303000503,0.0,0.36472043837789675
0.007057696414657177,0.002704815073219142,0.4017262890845909,2.246828713128249,0.04011641001325652,0.4048368483911533
0.014115392829314354,0.005669945039146872,0.43848661039869674,2.347377875262034,0.08029477761993573,0.4450152159978325
0.02117308924397153,0.008893627440407215,0.474993318851085,2.443141322264765,0.12052724051461121,0.48524767889250797
0.02823078565862871,0.012374048531758533,0.5112398865490013,2.534645365355358,0.16080745085477213,0.5255278892326689
0.03528848207328588,0.01610935276778767,0.5472209422296889,2.622323056890356,0.20113019610051353,0.5658506344784103
0.04234617848794306,0.020097649966618863,0.5829320022473092,2.7065358739856897,0.24149113377472822,0.606211572152625
0.045875026695271555,0.02218607216427384,0.6006850767425895,2.7474402732372583,0.26168475765131016,0.6264051960292069
0.04940387490260005,0.024337020853824505,0.6183692772253436,2.787589312801536,0.28188660091373097,0.6466070392916278
0.052932723109928546,0.02655025229597106,0.6359842152140956,2.8270143121125018,0.302096288924403,0.6668167273022997
0.05646157131725723,0.028825521429505032,0.6535295298731147,2.865744362769311,0.32231347400744736,0.6870339123853442
0.056927609480150895,0.029130629826009252,0.6558414332699298,2.870808766737243,0.32498400426729773,0.6897044426451945
0.05739364764304475,0.029436815373089297,0.6581521157174028,2.8758615847621742,0.32765465889933315,0.6923750972772299
0.05832572396883208,0.03005241564188982,0.6627698148262028,2.885932699869314,0.33299633845325144,0.6977167768311482
0.05925780029461941,0.030672317678342567,0.6673826213901997,2.8959581765166784,0.3383385070803973,0.7030589454582941
0.06018987662040674,0.03129651691950842,0.671990529704291,2.9059384747264985,0.343681159293497,0.7084015976713938
0.061121952946194075,0.0319250087971722,0.6765935341652638,2.9158740463278217,0.3490242897042141,0.7137447280821109
0.062054029271981594,0.032557788737931456,0.6811916292690166,2.925765335160236,0.35436789302068344,0.7190883313985802
0.06298610559776911,0.03319485216329294,0.6857848096083471,2.935612777271168,0.35971196404512035,0.7244324024230171
0.06391818192355644,0.03383618850022635,0.6903727734192803,2.945416801209923,0.36505649767109544,0.7297769360489922
0.0700438020124262,0.03815723237512668,0.720397919130672,3.008784364761929,0.40018646645956957,0.7649069048374664
0.07616942210129594,0.042661497542563785,0.7501962005163909,3.0703809927061725,0.43532426596541757,0.8000447043433143
0.0822950421901657,0.04734760030473594,0.7797673765631704,3.1303101505242656,0.47046938138296424,0.835189819760861
0.08842066227903544,0.05221414800747594,0.8091109638740157,3.188664904533597,0.5056213502236513,0.8703417886015481
0.0945462823679052,0.0572597451763054,0.838226525762398,3.245529333960206,0.5407797551651912,0.905500193543088
0.10067190245677496,0.06248299378477357,0.8671136661389645,3.3009797051248433,0.5759442181097474,0.9406646564876442
0.1067975225456447,0.06788249348818817,0.8957720243931707,3.3550854549463023,0.6111143952104536,0.9758348335883504
0.11292314263451446,0.07345684182832377,0.9242012710798009,3.40791002033574,0.6462899726799838,1.0110104110578806
0.12703853546382882,0.08695992087510462,0.9888375126742883,3.525066428429862,0.7273648140852798,1.0920852524631766
0.14115392829314308,0.10136675465298006,1.052252528077478,3.6363426692973904,0.8084637765878998,1.1731842149657965
0.16938471395177168,0.13282256176945514,1.175407382596778,3.843254229614949,0.9707242252540552,1.3354446636319521
0.19761549961040029,0.16768584647004506,1.2936498293823286,4.03193270146796,1.1330551703578902,1.497775608735787
0.22584628526902892,0.205817708254759,1.406966761591263,4.204814349106029,1.2954446749729134,1.6601651133508102
0.2540770709276575,0.24707895378638312,1.5153484986590662,4.363763126906651,1.4578836115071172,1.8226040498850142
0.28230785658628615,0.29133014743015656,1.61878744416418,4.510241745365243,1.6203648058851639,1.9850852442630607
0.3105386422449147,0.3384316613239849,1.71727751377542,4.645421743410629,1.7828824890260642,2.1476029274039607
0.33876942790354325,0.38824371230987753,1.8108137519825818,4.7702572333711695,1.945431931378854,2.310152369756751
0.3670002135621719,0.4406263900161088,1.899392066925002,4.88553598665857,2.1080091917531805,2.4727296301310773
0.3952309992208005,0.4954396788366616,1.983009042150101,4.99191583011647,2.270610940378925,2.6353313787568218
0.4516925705380577,0.6117975984051408,2.135347892725713,5.180112922268579,2.595876875541171,2.960597313919068
0.5081541418553149,0.7361958036759485,2.26781202725893,5.338367081923633,2.921211051332746,3.285931489710643
0.5646157131725722,0.8675117379390186,2.3803880250476617,5.469262715138654,3.2465988509107615,3.6113192892886583
0.6210772844898294,1.004622189105617,2.4730659338743934,5.574716087993621,3.5720284035131233,3.93674884189102
0.6775388558070865,1.1464034638277039,2.5458384038998685,5.656142252822166,3.897489744197689,4.262210182575585
0.7340004271243438,1.291731511341381,2.5987001313473206,5.714562552397459,4.222974189811487,4.587694628189384
0.790461998441601,1.4394820312087382,2.6316474951437,5.7506742127603125,4.548473946305565,4.913194384683462
0.8469235697588582,1.5885305542589874,2.6446783285697952,5.764894115635917,4.873981729367516,5.238702167745413
0.8556325164041995,1.6115642073976164,2.644914956103372,5.765152346803724,4.92419012894317,5.288910567321067
0.9033851410761154,1.737865841487903,2.6449149561040683,5.765152346804294,5.1994912851365225,5.564211723514419
0.9514746525832284,1.8650585098283288,2.644914956103372,5.765152346803724,5.476734645258417,5.841455083636314
0.9598467123933727,1.8871984270699451,2.643994893705117,5.764149188708778,5.525005903049564,5.889726341427461
